Speed;FC (essence);FC (diesel);CO2 (essence);CO2 (diesel);Nox (essence);Nox (diesel);PM (essence);PM (diesel);CO (essence);CO (diesel);COV (essence);COV (diesel)
10;31.59;64.41;98.19;201.74;0.12;0.84;0;0.04;1.36;0.28;0.13;0.05
20;22.15;48.52;69.17;152;0.11;0.63;0;0.03;0.79;0.2;0.08;0.03
30;18.01;40.79;56.32;127.82;0.0953;0.5248;0.0006;0.029175476;0.5926;0.156;0.057;0.0253
40;15.74;36.46;49.3;114.29;0.0882;0.4669;0.0006;0.0257;0.4922;0.1195;0.0451;0.0197
50;14.45;33.96;45.29;106.48;0.0856;0.4332;0.0006;0.0235;0.4359;0.0911;0.0376;0.016
60;13.75;32.61;43.17;102.29;0.0866;0.4166;0.0003;0.0227;0.3942;0.069;0.031;0.0135
70;13.48;32.1;42.31;100.73;0.0911;0.4139;0.0003;0.0231;0.3868;0.0524;0.0278;0.0116
80;13.53;32.29;42.44;101.33;0.0979;0.4242;0.0003;0.0248;0.3985;0.0406;0.0258;0.0103
90;13.84;33.11;43.4;103.92;0.1065;0.4484;0.0003;0.0279;0.4318;0.0333;0.0248;0.0094
100;14.42;34.6;45.13;108.59;0.1169;0.4892;0.0004;0.0323;0.4959;0.0304;0.0249;0.0088
110;15.26;36.86;47.64;115.7;0.1295;0.5532;0.0004;0.038;0.6124;0.0316;0.0261;0.0085
120;16.42;40.15;50.94;125.97;0.1449;0.6589;0.0004;0.0449;0.8439;0.037;0.0287;0.0084
130;17.95;45;54.83;141.2;0.164;0.8745;0.0004;0.0532;1.4679;0.0464;0.0338;0.0086
