0.8;0.01;0.01;0.01;0.1;0.029;0.01;0.01;0.01;0.01;0.001
0.51;0.1;0.2;0.1;0.029;0.01;0.02;0.01;0.01;0.01;0.001
0.03;0.15;0.8;0.01;0.003;0.001;0.0015;0.001;0.0015;0.001;0.001
0.001;0.001;0.7;0.1;0.186;0.001;0.007;0.001;0.001;0.001;0.001
0.01;0.01;0.12;0.05;0.8;0.001;0.0055;0.001;0.0005;0.001;0.001
0.09;0.003;0.1;0.002;0.5;0.1;0.2;0.002;0.001;0.001;0.001
0.002;0.001;0.003;0.02;0.102;0.01;0.8;0.01;0.05;0.001;0.001
0.01;0.01;0.01;0.01;0.23;0.01;0.5;0.1;0.109;0.01;0.001
0.01;0.01;0.01;0.01;0.049;0.01;0.04;0.01;0.8;0.05;0.001
0.025;0.025;0.04;0.03;0.1145;0.03;0.1045;0.03;0.5;0.1;0.001
0.02;0.001;0.02;0.001;0.307;0.01;0.3;0.03;0.3;0.01;0.001
